案卷类型,案卷来源,市派单时间,案卷标题,问题详细描述,回复内容,问题分类,问题分类1,问题分类2,问题分类3,行业分类,行业名称(1),行业名称(2),行业名称(3),涉及问题(1),涉及问题(2),处理单位,企业名称,投诉/举报/投诉+举报/咨询建议
诉求,12315,2023-01-09 11:25:19,家乐福升级系统不合理“12315热线来电”,"市民反映，在北京市朝阳区家乐福四元桥店家乐福系统升级，导致自己的购物卡无法使用也不说什么时候升级完成，来电反映家乐福升级系统不合理注：请及时向来电人反馈办理情况工单流转：经核实，来电人反映的总公司为北京家乐福商业有限公司，地址北京市丰台区南三环西路16号1号楼B1-01。北京家乐福商业有限公司四元桥店是丰台总公司的分公司，依据《中华人民共和国公司法》第十四条条第一款:“公司可以设立分公司。设立分公司,应当向公司登记机关申请登记,领取营业执照。分公司不具有法人资格,其民事责任由公司承担。”因由总公司售出购物卡，相关政策由总公司制订，且卡中的剩余钱款均在丰台总公司账上，故相关退费等责任应由总公司承担,分公司不承担民事责任，故请转至丰台区处理。(附件：家乐福丰台总公司企业信息截图） 建议转派单位：丰台区。",针对来电人反映的情况，丰台区市场监督管理局工作人员联系来电人，了解相关情况。经核实，近期收到大量投诉反映家乐福会员卡不能正常使用、退卡受拒等问题。目前，多部门已经开展联合调查，相关情况正在核查之中，我局对于侵害消费者权益的行为坚决打击，要求家乐福积极回应消费者关切，按约定提供服务。相关情况已于2023年1月13日向来电人进行告知，来电人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,预付费卡消费,预付费卡退费,马家堡所,北京家乐福商业有限公司马家堡店,投诉
诉求,12315,2023-01-25 13:51:04,投诉盒马鲜生问题,市民反映，自己今天11:33分通过丰台区盒马鲜生大成路店买的商品，预计时间是14：35分送达，但是超时了，导致自己在门口受冻了1个小时，商家也没有联系自己，商家的售后不到位，订单号：3165388417039849739，今天（1月25日）收到张同志使用18010287097的电话回访，市民觉得是站在商家角度回复的，市民对回复不认可，来电反映投诉盒马鲜生问题。注：请及时向来电人反馈办理情况。,"针对该投诉，2023年1月25日,青塔街道市场所执法人员与北京盒马网络科技有限公司大成路分公司负责人及投诉人取得联系，了解情况。经查，因节日期间运力不足导致超时，商家已经电话联系顾客，解释原因，赔礼道歉，并承诺顾客的会员进行退款补偿，顾客表示不需要，希望商家能够合理配送。对投诉人反映的客服电话问题，经查询，为总部客服联系，而非盒马鲜生大成店联系电话，已向顾客进行解释。对投诉人反映的送货超时问题，因近期商家工作人员过年回家人员较多等原因，导致配货及运力的下降，我所执法人员要求商家加强配送、配货管理，确保配送准时。经调解，该单位与投诉人已达成谅解，双方达成一致，调解成功。2023年1月25日14:17分，青塔街道市场所执法人员将办理结果已电话告知投诉人，投诉人表示已知悉。",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,居民服务类+超市服务,居民服务类,超市服务,,合同纠纷（消费）类,违反合同约定、不履行合同,青塔所,北京盒马网络科技有限公司大成路分公司,投诉
诉求,12315,2022-03-28 18:11:54,希望按照预定享受服务的问题“12315热线来电”,市民反映，前几天看动画片买了爱奇艺的星钻会员（银河奇异果，所在地丰台区)，当天可以观看，但是昨天发现这个影片有星钻会员也无法观看，平台称以页面显示为准，自己要求恢复的会员权益让自己可以观看，账号：15110222103，来电反映希望按照预定享受服务的问题。 注：请及时向来电人反馈办理情况。,"针对来电人反映的问题，丰台区市场监督管理局科技园区市场所执法人员于2022-03-29 10:49联系来电人18010370051，核实具体情况。经调解，被诉方同意为来电人按之前的会员权益使用，可以无限次的观看这部影片（单独付费的），并且退费280元，双方协商达成一致意见。我所执法人员于2022-04-1 17:01再次致电来电人18010370051，来电人称已解决，对我所工作表示满意。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+互联网+互联网服务,商务服务类,互联网,互联网服务,其他市场管理类,服务质量、服务态度类,科技园区所,银河互联网电视有限公司,投诉
诉求,12345,2023-10-12 12:58:50,天猫店家虚假宣传问题,1、购买渠道：天猫（北京歌阳服饰有限公司）2、是否进行过消费纠纷调解：是3、平台或企业注册地址：北京市丰台区大成里秀园13号楼东侧楼三层(卢沟桥企业集中办公区)4、消费内容：购买西装5、订单号：35557235319009307596、其具体诉求内容：反映店家伪造厂商厂名厂址，广告页面虚假宣传采用韩国进口西服料，希望店家出示韩国进口报告单，如果没有希望按照消法退一赔三（已解释）问题，反映店家虚假虚传问题。,"丰台区市场监督管理局青塔市场所执法人员于2023年10月12日电话联系诉求人核实并告知受理,针对其反映的北京歌阳服饰有限公司问题，经执法人员核实，商家对相关问题进行了解释及处理，双方协商处理解决。针我所已于2023年10月16日10:54电话联系投诉人，告知办理结果。诉求人对调解结果表示知悉。",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,广告类,虚假宣传,青塔所,北京歌阳服饰有限公司,投诉
诉求,12315,2023-01-29 17:10:55,爱奇艺协调退费的问题,"市民反映，自己在奇异果购买的会员，买了之后会员VIP视频的看不了，花费15元，自动续费35元，订单号：1368314443，开通会员手机号：13873123322，姓名：吕丹，电话：13873123322，来电反映爱奇艺协调退费的问题注：请及时向来电人反馈办理情况。工单流转：退回：来信人您好，您反映的信件，市场监督管理局进行了调查,市场监督管理局答复如下：经核实，通过账号查询，此单投诉主体应为银河奇异果，非爱奇艺订单，被诉主体为银河互联网电视有限公司，注册地址为北京市丰台区南四环西路188号十八区7号楼8层，建议向北京市丰台区市场监督管理局科技园区所反映处理。依据国家市场监督管理总局令第20号令《市场监督管理投诉举报处理暂行办法》第十二条第一款规定：投诉由被投诉人实际经营地或者住所地县级市场监督管理部门处理。故我局不予受理。我局工作人员于2023年1月29日电话告知来电人，来电人认可。",针对来电人反映的问题，丰台区市场监督管理局科技园区市场所执法人员于2023-1-3010:18联系来电人13873123322，核实具体情况。经调解，被诉方已为来电人恢复会员使用情况，双方和解。我所执法人员于2023-2-315:23致电来电人13873123322，来电人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,文化娱乐服务+休闲娱乐,文化娱乐服务,休闲娱乐,,网络交易类,刷单炒信、大数据杀熟、强制搭售,科技园区所,银河互联网电视有限公司,投诉
诉求,12315,2022-09-25 09:25:09,要求退货退款“12315热线来电” ,市民反映，昨天自己在天猫上买了一个电脑，收到之后摄像头左右是反的，并且摄像头照出来很不清楚，自己要求退，但是商家不给退，说激活了只能维修，自己不认可，商家是：华尔盛世数码专营店（公司全称：华尔盛世科技有限公司，注册地址是：丰台区万兴路1号院1号楼325室），订单号：2907444531219580965，花费：6799元，来电反映要求退货退款注：请及时向来电人反馈办理情况。,接到投诉后，北宫镇市场监督管理所执法人员联系投诉人，告知本投诉已由北宫镇市场所受理。经核实，诉求人购买的为全新未拆封电脑，依据《网络购买商品七日无理由退货暂行办法》第七条第二款下列性质的商品经消费者在购买时确认，可以不适用七日无理由退货规定:一经激活或者试用后价值贬损较大的商品，诉求人已将电脑送至华为售后检测点，待检测后根据检测结果协商后续问题，工作人员于2022年9月28日11时23分电话联系诉求人，表示已知悉。本投诉已办结，特此报告。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+电子产品,商品类,电子产品,,其他市场管理类,售后服务,北宫镇所,华尔盛世科技有限公司,投诉
诉求,北京通APP,2023-06-19 20:39:57,北京值得买科技股份有限公司商业欺诈问题#APP#,工单来源：北京通，此工单内容为网民留言时填写的标题及原文。 =============================留言标题：北京值得买科技股份有限公司商业欺诈留言原文：补充信息注：参阅网络-230619-022811，该平台搞活动推销酒，购买后可返还20元京东卡，然后耍赖说审核不通过，客服解释的理由也十分牵强。注：附件为公司注册地址、个人信息、订单编号,您好，关于您反应问题的办理情况，丰台区市场监督管理局科技园区市场所回复如下：经我所执法人员于2023-6-2015:32联系网民，多次协调，达成一致意见。被诉方北京值得买科技股份有限公司同意为网民返卡，会在活动正常返卡时间7月21日内发放20元京东卡，您反映的诉求已经解决。我所执法人员于2023-6-2015:32再次联系您告知办理情况，感谢您对我们工作的理解与支持。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,合同纠纷（消费）类,合同欺诈,科技园区所,北京值得买科技股份有限公司,投诉
诉求,12315,2023-06-04 14:29:29,协商退款问题”12315热线来电“,市民反映，自己在淘宝购买的鞋子，淘宝店铺在北京，名称是桔梗正品代购店铺，地址在北京市丰台区西罗园街道马家堡东路三星庄园1号院6号楼7-102，自己5月24号买的鞋，收到货后鞋大，然后就换货了，因为被快递员丢掉鞋盒了，套了一个塑料袋，商家以没有鞋盒为由拒接退全款，自己这双鞋不要了，这个鞋只是试穿了一次并没有破损，此次市民来电反映同一问题，称此问题一直未得到解决，自己申请退货，商家不同意，又给自己返回，自己拆开发现鞋子被维修过，现在快递愿意赔偿98元，自己退货商家赔偿自己剩余的243元，强烈要求再次反映，来电反映协商退款问题。注：请及时向反映人反馈办理情况。,针对反映问题，西罗园所执法人员联系商家了解情况并组织调解，经协商，双方达成一致意见，调解成功，商家为其退款。2023年6月5日15:22联系投诉告知相关情况，投诉人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,其他市场管理类,售后服务,西罗园所,桔梗正品代购店铺,投诉
诉求,12345,2023-03-22 10:45:46,投诉京东店铺问题,市民反映，自己要投诉京东店铺，自己在此店铺买药，买得是处方药但是对方并没有标明，导致自己家的小孩吃了之后有不良反映，自己联系商家商家还说了自己一顿，自己怀疑他们没有药品行商许可证，订单编号：261985498779，公司名称：北京世纪本草洋桥东里大药房有限公司，注册地：丰台区建欣苑6里1层09号，此次来电（3月22日）市民称问题一直没有解决，市民称问题没有解决，市民称收到回复了，但是对方称属于是双标药，市民称自己查了，没有双标药这种说法，所以对回复不认可，市民称希望有书面的回复（已解释），来电反映投诉京东店铺问题。 注：请及时向反映人反馈办理情况。,针对反映问题，大红门市场所执法人员于2023年3月23日10:42分与举报人联系，核实被举报方具体地理位置及情况。经大红门市场所执法人员2023年3月23日14:26分实地核查，经查：当事人出示了营业执照、药品经营许可证，现场有被举报产品但未发现问题。执法人员于2023年3月23日15:01时告知举报人相关处理情况，由于违法事实不成立我局执法人员将作出不予立案的决定，举报人已熟知。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+药品,商品类,药品,,药品类,不良反应,大红门所,北京世纪本草洋桥东里大药房有限公司,举报
诉求,12345,2023-06-06 19:32:39,协调转票,市民反映，在丰台区杜比影院丽泽天街4层万象影城，买完电影票取不了票，现在还不给退票，市民表示不退票可以给转到西三旗的万象影城，因为自己腿摔了，可以去就近的影院使用票，订单号：3364943688392676949，来电反映协调转票。注：请及时向来电人反馈办理情况。,来电人反映自己在手机app上的北京猫眼文化传媒有限公司购买电影票，经沟通，我所辖区电影院同意请客观看一场电影，但来电人要求将电影票更换到海淀区西三旗的万象影城，来电人在线上平台进行购买该企业非我辖区（北京市东城区和平里东街11号3号楼一层1-A3号），故此我局不予受理并已告知来电人向平台所在地反映。2023年6月8日9:58分丽泽所告知来电人，来电人知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,文化娱乐服务+电影院,文化娱乐服务,电影院,,其他市场管理类,售后服务,丽泽所,北京猫眼文化传媒有限公司,投诉
诉求,12315,2023-11-29 09:22:53,协调店铺尽快发货或者退款问题,1、购买渠道：北京金诚恒丰商贸有限公司 2、是否进行过消费纠纷调解：是 3、平台或企业注册地址：北京市丰台区马家堡路180号7层827 4、消费内容：购买大闸蟹物品 5、订单号：卡号：x202149800280，手机号：13520556265 6、其具体诉求内容：市民反映，自己在网上购买大闸蟹，一直不发货，市民不认可，市民要求及时发货或者及时给市民退款，来电反映协调店铺尽快发货或者退款问题。 注：市民要求联系13520556265（已解释）,针对反映问题，西罗园所执法人员联系商家了解情况并组织协商，商家表示将尽快联系投诉人协商解决，目前正在协商处理中，执法人员也将跟进协商结果。2023年12月4日执法人员联系投诉人告知相关情况，投诉人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,其他市场管理类,商品发货慢,西罗园所,北京金诚恒丰商贸有限公司,投诉
诉求,12315,2022-04-24 14:10:16,协调退货“12315热线来电”,市民反映，自己是今年三月份在淘宝的北京春风卫康商贸有限公司买了鞋，订单号：2549645156387443312，到货之后鞋子有问题想退，但商家不给退，注册地址：丰台区造甲南里11号楼11-463，来电反映协调退货。注：请及时向来电人反馈办理情况。,"针对反映问题，新村市场所执法人员于2022年4月24日14:32分联系消费者，核实其诉求。经新村所执法人员于2022年4月24日15:32调解，该商家同意按照消费者提出的方案配合其解决。目前双方已经协商达成一致。执法人员已于2022年4月25日10:15与消费者电话核实情况，消费者表示满意认可。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,其他市场管理类,售后服务,新村所,北京春风卫康商贸有限公司,投诉
诉求,12315,2023-01-07 20:22:10,协调退货退款,市民反映，自己1月1日在淘宝的商家购买了一双球鞋，支付1119元，5日才收到鞋子，在自己收到快递之前该款鞋子就降价200元，联系商家要求退差价，否则退货，商家同意退差价，但一直都没有退，自己就申请退货，但是商家不处理自己的退货申请，订单号：3128497597688198509，商家名称：4S球鞋店， 商家地址：丰台区纪家庙双创产业园M6，来电反映协调退货退款的问题。注：请及时向来电人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,其他市场管理类,售后服务,玉泉营所,,
诉求,12315,2023-03-07 13:06:02,协调退费“12315热线来电“,市民反映，2023年2月22日在阿里买了茅台酒花了2129元，拒收把酒退给商家，商家没有退费，希望协调退费，订单号：3215999152642084023，商家地址：丰台区星火路9号1栋1层1776室，注册地：北京酒星科技有限公司，来电反映协调退费。注：请及时向来电人反馈办理情况。,针对来电人反映的问题，丰台区市场局科技园区所2023-3-715:14执法人员联系来电人13758486279，告知工单已接收。经调解，被诉方同意为来电人退费2129元并支付运费138元，双方和解。我所执法人员于2023-3-815:17联系来电人13758486279，上述情况已告知来电人，来电人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,其他市场管理类,售后服务,科技园区所,北京酒星科技有限公司,投诉
诉求,12345,2023-04-09 09:17:40,协调赔偿问题,市民反映， 银河互联网电视有限公司，旗下的奇异果同一个微信号，在自己不知情的情况下扣除了两次费用，第一次2019年7月14号，持续到2022年8月，充值1100元，第二笔，2021年1月21号到2022年8月21号，两次一共大概扣除了1600元，联系公司客服只给自己退回300元，市民不认可，需要全部退还，充值微信号：15288819736，地址：丰台区南四环西路188号18去7号楼8层，来电反映协调赔偿问题。注：请及时向来电人反馈办理情况。 ,针对来电人反映的问题，丰台区市场监督管理局科技园区所执法人员于2023-04-0910:27联系来电人18553606630，告知我局已受理。经调解，被诉方同意为来电人退费990元，双方和解。我所执法人员于2023-04-1113:52致电来电人18553606630，来电人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+互联网+互联网服务,商务服务类,互联网,互联网服务,网络交易类,刷单炒信、大数据杀熟、强制搭售,科技园区所,银河互联网电视有限公司,投诉
诉求,12345,2023-04-14 10:32:04,投诉商家夸大宣传,市民反映，通过拼多多店铺买了宠物零食，这个零食在店铺页面介绍可以补钙，订单号：230331-252607262323461，商家夸大宣传，按照消费者权益保护法55条退一赔三不足500元按照500元进行赔偿，商家地址：丰台区刘庄子127号48幢107室，公司名称：北京硕合商贸有限公司，商家电话：15300074566，来电反映投诉商家夸大宣传。注：及时向来电人反馈办理情况。,针对反映问题，看丹市场所执法人员于2023年4月14日14:01分联系投诉人者，核实其诉求。经调查，针对举报事项，现有证据不足以证明商家存在举报人反映的违法问题，不予立案。针对投诉事项，经协商，双方无法达成一致意见，终止调解。执法人员已于2023年4月17日09:11与投诉人电话核实况，投诉人表示悉知。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+宠物、宠物用品类,商品类,宠物、宠物用品类,,咨询类,广告业务咨询,看丹所,北京硕合商贸有限公司,举报+投诉
诉求,12345,2022-12-16 00:19:14,药物迟迟未送达的问题,市民反映，自己12月10号的时候在美团购买的药，一直到现在（2022年12月14日21:44:50）都没有给自己送达，但订单显示已经完成，市民觉得不合理，订单号：800322023103652963。来电反映药物迟迟未送达的问题注：请及时向来电人反馈办理情况。来信人您好，您反映的信件，市场监督管理局进行了调查，并答复如下：经核实，来电人反映药物迟迟未送达问题。经查，被诉主体名称：仁和药房网（北京）医药科技有限公司第一药房，注册地址：北京市丰台区右安门外东头条路北侧迦南公寓 C座7—8轴，非我局管辖范围，我局依据《市场监督管理投诉举报处理暂行办法》（市场监管总局20号令）规定进行处理。2022年12月15日15时12分联系来电人，退回丰台区市场监管部门处理。,您好，关于您反映问题的办理情况，丰台区市场监督管理局右安门市场所回复如下：针对投诉人所反映问题，右安门市场所于2022年12月16日16:13联系投诉人核实相关情况，我局会指导药店加大采购力度，积极储备短缺药品，尽快为投诉人进行配送。感谢您对我们工作的理解与支持!,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,居民服务类+医疗服务类+药店,居民服务类,医疗服务类,药店,合同纠纷（消费）类,违反合同约定、不履行合同,右安门所,仁和药房网（北京）医药科技有限公司第一药房,投诉
诉求,12345,2022-09-05 14:29:20,12345-2协调退费,市民反映，公司地址：北京米宅科技有限公司，公司地址：丰台区郭公庄中街20号院3号楼12层1209-217，2022年2月10日花费2000元报名，资讯服务没到期就停止服务，跟客服沟通无果，来电协调退费问题注：请及时向来电人反馈办理情况。,"市民反映，公司地址：北京米宅科技有限公司，公司地址：丰台区郭公庄中街20号院3号楼12层1209-217，2022年2月10日花费2000元报名，资讯服务没到期就停止服务，跟客服沟通无果，来电协调退费问题、经丰台区市场局花乡市场所执法人员调解，双方已协商一致，商家已同意消费者退费诉求，该诉求已解决。2022年9月7日14时10分，丰台市场监管局花乡所，丰台市场监管局花乡所执法人员电话联系投诉人，告知处理结果，投诉人表示满意。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+信息咨询类,商务服务类,信息咨询类,,合同纠纷（消费）类,违反合同约定、不履行合同,花乡所,北京米宅科技有限公司,投诉
诉求,12345,2022-01-10 16:13:13,协调退费,市民反映，自己在易报用车app上进行充值，活动规定充值固定金额会赠电视，充值的钱转换为转换为账户余额，市民进行打车但是根本打不到车，自己想要退费，公司不给退费，充值金额为两千五，充值账号：１８３３１８１０１００，市民表示易报app是滴滴打车旗下的，公司注册地址：北京丰台区北四环西路６６号技术交易大厦１９层B座，丰台区西四环南路8-1号1栋11层1123室，要求丰台区分中心回复（已解释），来电反映协调退费。注：请及时向来电人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+交通运输服务类+客运服务,商务服务类,交通运输服务类,客运服务,预付费卡消费,预付费卡退费,六里桥所,,
诉求,12345,2023-08-05 18:08:59,协调购买返现问题,1、购买渠道：什么值得买2、是否进行过消费纠纷调解：没有3、平台或企业注册地址：公司名称：北京值得买科技股份有限公司，地址：丰台区汽车博物馆东路1号院3号楼33层4、消费内容：购买积分返现服务5、订单号：6920086875784877918（账号：16513187237）6、其具体诉求内容：7月26在网上购买商品，发现网站上承诺的积分返现活动开始不在返现，自己要求网站按照承诺，购买返现，来电反映协调购买返现问题。,针对来电人反映的问题，丰台区市场监督管理局科技园区市场所执法人员于2023-8-610:06联系来电人18932213611，告知我局已受理。经调解，被诉方同意本次特例返现，于8月18日返卡300元，并建议用来电人后续参与活动时，注意网络通畅、下单不要有中断，双方和解，我所执法人员于2023-8-813:51再次致电来电人18932213611，来电人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,咨询类,其他行政主管部门业务,科技园区所,北京值得买科技股份有限公司,投诉
诉求,12315,2022-07-18 09:41:24,协调退款“12315热线来电”,市民反映，自己在网上购买游泳套票，商家北京思瑜盛大科技有限公司，地址丰台区新发地潘家庙56号5栋B-5-65，消费39.9元，订单号6159989，疫情原因关闭，要求退款，来电希望协调退款。注，请及时向来电人反馈办理情况,"市民反映，自己在网上购买游泳套票，商家北京思瑜盛大科技有限公司，地址丰台区新发地潘家庙56号5栋B-5-65，消费39.9元，订单号6159989，疫情原因关闭，要求退款，来电希望协调退款。2022-07-18 09:47:30经执法人员联系被诉方，协调解决此事，被诉方已经协商一致，商家已同意消费者退费诉求。该诉求已解决。2022年7月20日14时28分，丰台市场监管局花乡所，丰台市场监管局花乡所执法人员电话联系投诉人，告知处理结果，投诉人表示满意。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,文化娱乐服务+休闲娱乐,文化娱乐服务,休闲娱乐,,预付费卡消费,预付费卡退费,花乡所,北京思瑜盛大科技有限公司,投诉
诉求,12345,2023-05-12 20:23:25,商家不给退费,市民反映，11日21:05分在美团平台预定的酒店，因宣传与实际不符，希望退费，联系平台称商家不同意退，市民不认可，商家地址：丰台区马家堡西路36号，订单号：4917940458039467175，来电反映商家不给退费注：请及时向来电人反馈办理情况。,针对来电人反映的问题，丰台区市场监督管理局马家堡市场所工作人员于2023年5月15日11:15联系来电人，核实其诉求，来电人要求退还酒店费用元，告知受理。经工作人员核实，被诉方表示双方已经自行和解，依据《市场监督管理投诉举报处理暂行办法》的规定，投诉人撤回投诉或者双方自行和解的，决定终止调解。工作人员已于2023年5月15日11:15告知来电人相关情况，来电人表示已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,餐饮服务类+餐馆、饭店、酒店、食堂等,餐饮服务类,餐馆、饭店、酒店、食堂等,,合同纠纷（消费）类,违反合同约定、不履行合同,马家堡所,公益西桥酒店,投诉
诉求,12315,2023-08-15 15:03:18,协调退费“12315热线来电”,1、购买渠道：饿了么（名称：和合谷角门东店）2、是否进行过消费纠纷调解：否3、平台或企业注册地址：丰台区大红门西路19号物美超市临街1层F132号4、消费内容：外卖5、订单号：8031740048003313186、其具体诉求内容：市民在饿了么点了外卖，市民看是下午13:15送达，但是后续市民看到状态是终止异常，市民咨询平台，平台告知市民由于骑手未能联系到市民，导致已经无法送达，市民现在要求退费，来电反映协调退费问题。注：请及时向来电人反馈办理情况。,针对反映问题，大红门市场所执法人员联系投诉人，核实其退费诉求，我局已受理。经大红门市场所执法人员于调解，被诉方未同意投诉人的诉求，双方未达成一致意见，消费调解终止。执法人员已于2023年8月16日14时许与投诉人电话核实情况，投诉人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,餐饮服务类+餐馆、饭店、酒店、食堂等,餐饮服务类,餐馆、饭店、酒店、食堂等,,合同纠纷（消费）类,违反合同约定、不履行合同,大红门所,和合谷角门东店,投诉
诉求,12345,2023-10-31 18:27:59,协调京东到家退货,市民反映，10月31日致电12345（热线-231031-031333），反映自己通过京东在京东到家西铁营万达购买的手机，但自己到货后发现自己收到的货有划痕，自己希望退货，但对方不给自己退，订单号：283129360379，地址：丰台区右安门街道京东到家西铁营万达，10月31日当天丰台工商用01063557337打给自己，让自己去实体店开证明，自己到了实体店，实体店说不可能证明划痕是什么时候出现的，来电反映协调京东到家退货的问题。,针对市民反映协调退款问题，右安门市场所消保组联系消费者，核实其诉求为退款。经右安门市场所消保组调解，商家京东到家表示必须提供开箱视频后退款。右安门市场所消保组于2023年11月3日10：37告知消费者调解情况，必须提供开箱视频后商家退款，故终止调解，消费者已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+手机及配件等通讯器材,商品类,手机及配件等通讯器材,,其他市场管理类,售后服务,右安门所,北京众宇通科技有限公司丰台第一分公司,投诉
诉求,12315,2022-08-29 17:53:13,协调退费“12315热线来电”,"市民反映，8月29号在美团APP点了丰台区1点点宋家庄店的外卖，订单号：53301850023823458,53301850276098316，在骑手到店之前就取消了，但商家依然让骑手派送，自己联系商家要退东西不收，之后商家给回复说东西做出来了自己才说，实际是商家没看见，为什么不给自己退，来电反映协调退费的问题。注：请及时向来电人反馈办理情况。","丰台区市场监督管理局石榴庄所执法人员于2022年8月30日电话联系投诉人，告知其投诉已受理。市民反映，8月29号在美团APP点了丰台区1点点宋家庄店的外卖，订单号：53301850023823458,53301850276098316，在骑手到店之前就取消了，但商家依然让骑手派送，自己联系商家要退东西不收，之后商家给回复说东西做出来了自己才说，实际是商家没看见，为什么不给自己退，来电反映协调退费的问题。注：请及时向来电人反馈办理情况。执法人员于2022年8月30日电话告知被诉方投诉内容，被诉方已知晓。执法人员于2022年9月1日电话联系投诉人，投诉人告知被诉方正在给自己解决，此投诉办结，投诉人表示满意。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,餐饮服务类+餐馆、饭店、酒店、食堂等,餐饮服务类,餐馆、饭店、酒店、食堂等,,合同纠纷（消费）类,违反合同约定、不履行合同,石榴庄所,北京曲氏龙辉餐饮管理有限公司,投诉
诉求,12345,2022-03-20 13:25:25,食品安全问题,市民反映，丰台区槐房西路9号院88栋地下一层54号七鲜超市（大悦春风里），从超市APP下单买的菜，买了7.99元的薄荷叶，打开后掉出来一个蛆，市民表示太恶心了，不能接受，市民联系了平台客服，就给市民退款了，市民要求赔偿，并曝光这个问题，来电反映食品安全问题。注：请及时向来电人反馈办理情况。,"丰台区市场局南苑街道市场所执法人员去现场检查，现场未发现薄荷叶有蛆的问题，违法事实不成立，不予立案。2022年3月22日联系来电人，来电人表示自己反映的问题已经得到解决，故办结。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+肉蛋蔬果、米面粮油,商品类,肉蛋蔬果、米面粮油,,食品安全类,食品掺杂掺假、异物、变质,南苑所,北京期选信息技术有限公司丰台春风里店,投诉
诉求,12315,2023-10-07 15:57:31,公司收费问题, 1、购买渠道：淘宝2、是否进行过消费纠纷调解：是3、平台或企业注册地址：丰台区金泽西路8号院近山联合大厦6层4、消费内容：购买成人教育5、订单号：17419268283419851746、其具体诉求内容：市民反映，自己在淘宝上报考了一个（公司名：民生教务集团有限公司，地址：北京市丰台区金泽西路8号院近山联合大厦6层 ）成人教务，刚开始说的是费用一共是要交7000元，里面包括1000元专科注册费用，平台承诺每年交1300就行，但是在9月27号的时候平台打电话给市民要求一次性支付6380元加1000块钱，市民不认可，来电希望公司收费问题。,接到市民诉求后，丽泽市场所执法人员与市民电话联系，经核实，市民反映线上成人在教育协调退费问题，我局已受理，目前正在办理中，我所正在核实来电人提供的两家企业是否和我辖区民生教育有关。2023年10月12日15:17告知来电人情况，来电人知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,教育培训类+职业技术培训,教育培训类,职业技术培训,,教辅培训机构类,教育培训退费,丽泽所,民生教育集團有限公司,投诉
